Speaker,Language,Text,ID_unigram_coupe,ID_unigram_esidaine,ID_bigram_coupe,ID_bigram_esidaine,ID_trigram_esidaine,ID_4gram_esidaine,IR_unigram_esidaine,IR_bigram_esidaine,IR_trigram_esidaine,IR_4gram_esidaine,SR_unigram_esidaine,SR_bigram_esidaine,SR_trigram_esidaine,SR_4gram_esidaine,phones_ID_unigram_esidaine,phones_IR_unigram_esidaine,phones_SR_unigram_esidaine,phones_ID_bigram_esidaine,phones_IR_bigram_esidaine,phones_SR_bigram_esidaine,phones_ID_trigram_esidaine,phones_IR_trigram_esidaine,phones_SR_trigram_esidaine,phones_ID_4gram_esidaine,phones_IR_4gram_esidaine,phones_SR_4gram_esidaine,sylls_ID_unigram_esidaine,sylls_IR_unigram_esidaine,sylls_SR_unigram_esidaine,sylls_ID_bigram_esidaine,sylls_IR_bigram_esidaine,sylls_SR_bigram_esidaine,sylls_ID_trigram_esidaine,sylls_IR_trigram_esidaine,sylls_SR_trigram_esidaine,sylls_ID_4gram_esidaine,sylls_IR_4gram_esidaine,sylls_SR_4gram_esidaine
CAT_F4(Mi),CAT,O2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,O3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,O4,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,O6,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,O8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,O9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,P0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,P1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,P2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,P3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,P8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,P9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,Q0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F4(Mi),CAT,Q1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,O1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,O2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,O3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,O4,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,O6,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,O8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,O9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,P0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,P1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,P2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,P3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,P8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,P9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,Q0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_F5(An),CAT,Q1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,O1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,O2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,O3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,O4,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,O6,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,O8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,O9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,P0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,P1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,P2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,P3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,P8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,P9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,Q0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M1(Xa),CAT,Q1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,O1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,O2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,O3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,O4,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,O6,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,O8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,O9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,P0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,P1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,P2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,P3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,P8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,P9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,Q0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M2(Al),CAT,Q1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,O1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,O2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,O3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,O4,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,O6,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,O8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,O9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,P0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,P1,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,P2,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,P3,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,P8,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,P9,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT_M3(Da),CAT,Q0,8.1,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
