Speaker,Language,Text,ShE,NS_coupe,NS_sidaine,ID_bigram_coupe,ID_bigram_esidaine,ID_unigram_esidaine,ID_trigram_esidaine,ID_4gram_esidaine,IR_esidaine
CAT_M1(Xa),CAT,O9,8.1,81,,5.49,,,,,
CAT_M1(Xa),CAT,P0,8.1,122,,5.49,,,,,
CAT_M1(Xa),CAT,P1,8.1,127,,5.49,,,,,
CAT_M1(Xa),CAT,P2,8.1,118,,5.49,,,,,
CAT_M1(Xa),CAT,P3,8.1,131,,5.49,,,,,
CAT_M1(Xa),CAT,P8,8.1,117,,5.49,,,,,
CAT_M1(Xa),CAT,P9,8.1,119,,5.49,,,,,
CAT_M1(Xa),CAT,Q0,8.1,127,,5.49,,,,,
CAT_M1(Xa),CAT,Q1,8.1,93,,5.49,,,,,
CAT_M2(Al),CAT,O1,8.1,88,,5.49,,,,,
CAT_M2(Al),CAT,O2,8.1,118,,5.49,,,,,
CAT_M2(Al),CAT,O3,8.1,139,,5.49,,,,,
CAT_M2(Al),CAT,O4,8.1,142,,5.49,,,,,
CAT_M2(Al),CAT,O6,8.1,99,,5.49,,,,,
CAT_M2(Al),CAT,O8,8.1,131,,5.49,,,,,
CAT_M2(Al),CAT,O9,8.1,81,,5.49,,,,,
CAT_M2(Al),CAT,P0,8.1,122,,5.49,,,,,
CAT_M2(Al),CAT,P1,8.1,127,,5.49,,,,,
CAT_M2(Al),CAT,P2,8.1,118,,5.49,,,,,
CAT_M2(Al),CAT,P3,8.1,131,,5.49,,,,,
CAT_M2(Al),CAT,P8,8.1,117,,5.49,,,,,
CAT_M2(Al),CAT,P9,8.1,119,,5.49,,,,,
CAT_M2(Al),CAT,Q0,8.1,127,,5.49,,,,,
CAT_M2(Al),CAT,Q1,8.1,93,,5.49,,,,,
CAT_M3(Da),CAT,O1,8.1,88,,5.49,,,,,
CAT_M3(Da),CAT,O2,8.1,118,,5.49,,,,,
CAT_M3(Da),CAT,O3,8.1,139,,5.49,,,,,
CAT_M3(Da),CAT,O4,8.1,142,,5.49,,,,,
CAT_M3(Da),CAT,O6,8.1,99,,5.49,,,,,
CAT_M3(Da),CAT,O8,8.1,131,,5.49,,,,,
CAT_M3(Da),CAT,O9,8.1,81,,5.49,,,,,
CAT_M3(Da),CAT,P0,8.1,122,,5.49,,,,,
CAT_M3(Da),CAT,P1,8.1,127,,5.49,,,,,
CAT_M3(Da),CAT,P2,8.1,118,,5.49,,,,,
CAT_M3(Da),CAT,P3,8.1,131,,5.49,,,,,
CAT_M3(Da),CAT,P8,8.1,117,,5.49,,,,,
CAT_M3(Da),CAT,P9,8.1,119,,5.49,,,,,
CAT_M3(Da),CAT,Q0,8.1,127,,5.49,,,,,
CAT_M3(Da),CAT,Q1,8.1,93,,5.49,,,,,
CAT_M4(Ma),CAT,O1,8.1,88,,5.49,,,,,
CAT_M4(Ma),CAT,O2,8.1,118,,5.49,,,,,
CAT_M4(Ma),CAT,O3,8.1,139,,5.49,,,,,
CAT_M4(Ma),CAT,O4,8.1,142,,5.49,,,,,
CAT_M4(Ma),CAT,O6,8.1,99,,5.49,,,,,
CAT_M4(Ma),CAT,O8,8.1,131,,5.49,,,,,
CAT_M4(Ma),CAT,O9,8.1,81,,5.49,,,,,
CAT_M4(Ma),CAT,P0,8.1,122,,5.49,,,,,
CAT_M4(Ma),CAT,P1,8.1,127,,5.49,,,,,
CAT_M4(Ma),CAT,P2,8.1,118,,5.49,,,,,
CAT_M4(Ma),CAT,P3,8.1,131,,5.49,,,,,
CAT_M4(Ma),CAT,P8,8.1,117,,5.49,,,,,
CAT_M4(Ma),CAT,P9,8.1,119,,5.49,,,,,
CAT_M4(Ma),CAT,Q0,8.1,127,,5.49,,,,,
CAT_M4(Ma),CAT,Q1,8.1,93,,5.49,,,,,
CAT_M5(Jo),CAT,O1,8.1,88,,5.49,,,,,
CAT_M5(Jo),CAT,O2,8.1,118,,5.49,,,,,
CAT_M5(Jo),CAT,O3,8.1,139,,5.49,,,,,
CAT_M5(Jo),CAT,O4,8.1,142,,5.49,,,,,
CAT_M5(Jo),CAT,O6,8.1,99,,5.49,,,,,
CAT_M5(Jo),CAT,O8,8.1,131,,5.49,,,,,
CAT_M5(Jo),CAT,O9,8.1,81,,5.49,,,,,
CAT_M5(Jo),CAT,P0,8.1,122,,5.49,,,,,
CAT_M5(Jo),CAT,P1,8.1,127,,5.49,,,,,
CAT_M5(Jo),CAT,P2,8.1,118,,5.49,,,,,
CAT_M5(Jo),CAT,P3,8.1,131,,5.49,,,,,
CAT_M5(Jo),CAT,P8,8.1,117,,5.49,,,,,
CAT_M5(Jo),CAT,P9,8.1,119,,5.49,,,,,
CAT_M5(Jo),CAT,Q0,8.1,127,,5.49,,,,,
CAT_M5(Jo),CAT,Q1,8.1,93,,5.49,,,,,
CMN_F1(Hu),CMN,O1,8.69,60,,6.96,,,,,
CMN_F1(Hu),CMN,O2,8.69,73,,6.96,,,,,
CMN_F1(Hu),CMN,O3,8.69,73,,6.96,,,,,
CMN_F1(Hu),CMN,O4,8.69,80,,6.96,,,,,
CMN_F1(Hu),CMN,O6,8.69,64,,6.96,,,,,
CMN_F1(Hu),CMN,O8,8.69,69,,6.96,,,,,
CMN_F1(Hu),CMN,O9,8.69,57,,6.96,,,,,
CMN_F1(Hu),CMN,P0,8.69,100,,6.96,,,,,
CMN_F1(Hu),CMN,P1,8.69,70,,6.96,,,,,
CMN_F1(Hu),CMN,P2,8.69,65,,6.96,,,,,
CMN_F1(Hu),CMN,P3,8.69,77,,6.96,,,,,
CMN_F1(Hu),CMN,P8,8.69,78,,6.96,,,,,
CMN_F1(Hu),CMN,P9,8.69,76,,6.96,,,,,
CMN_F1(Hu),CMN,Q0,8.69,68,,6.96,,,,,
CMN_F1(Hu),CMN,Q1,8.69,57,,6.96,,,,,
CMN_F2(Yu),CMN,O1,8.69,60,,6.96,,,,,
CMN_F2(Yu),CMN,O2,8.69,73,,6.96,,,,,
CMN_F2(Yu),CMN,O3,8.69,73,,6.96,,,,,
CMN_F2(Yu),CMN,O4,8.69,80,,6.96,,,,,
CMN_F2(Yu),CMN,O6,8.69,64,,6.96,,,,,
CMN_F2(Yu),CMN,O8,8.69,69,,6.96,,,,,
CMN_F2(Yu),CMN,O9,8.69,57,,6.96,,,,,
CMN_F2(Yu),CMN,P0,8.69,100,,6.96,,,,,
CMN_F2(Yu),CMN,P1,8.69,70,,6.96,,,,,
CMN_F2(Yu),CMN,P2,8.69,65,,6.96,,,,,
CMN_F2(Yu),CMN,P3,8.69,77,,6.96,,,,,
CMN_F2(Yu),CMN,P8,8.69,78,,6.96,,,,,
CMN_F2(Yu),CMN,P9,8.69,76,,6.96,,,,,
CMN_F2(Yu),CMN,Q0,8.69,68,,6.96,,,,,
CMN_F2(Yu),CMN,Q1,8.69,57,,6.96,,,,,
CMN_F3(Ma),CMN,O1,8.69,60,,6.96,,,,,
CMN_F3(Ma),CMN,O2,8.69,73,,6.96,,,,,
CMN_F3(Ma),CMN,O3,8.69,73,,6.96,,,,,
CMN_F3(Ma),CMN,O4,8.69,80,,6.96,,,,,
CMN_F3(Ma),CMN,O6,8.69,64,,6.96,,,,,
CMN_F3(Ma),CMN,O8,8.69,69,,6.96,,,,,
CMN_F3(Ma),CMN,O9,8.69,57,,6.96,,,,,
CMN_F3(Ma),CMN,P0,8.69,100,,6.96,,,,,
CMN_F3(Ma),CMN,P1,8.69,70,,6.96,,,,,
CMN_F3(Ma),CMN,P2,8.69,65,,6.96,,,,,
CMN_F3(Ma),CMN,P3,8.69,77,,6.96,,,,,
CMN_F3(Ma),CMN,P8,8.69,78,,6.96,,,,,
CMN_F3(Ma),CMN,P9,8.69,76,,6.96,,,,,
CMN_F3(Ma),CMN,Q0,8.69,68,,6.96,,,,,
CMN_F3(Ma),CMN,Q1,8.69,57,,6.96,,,,,
CMN_F4(Fe),CMN,O1,8.69,60,,6.96,,,,,
CMN_F4(Fe),CMN,O2,8.69,73,,6.96,,,,,
CMN_F4(Fe),CMN,O3,8.69,73,,6.96,,,,,
CMN_F4(Fe),CMN,O4,8.69,80,,6.96,,,,,
CMN_F4(Fe),CMN,O6,8.69,64,,6.96,,,,,
CMN_F4(Fe),CMN,O8,8.69,69,,6.96,,,,,
CMN_F4(Fe),CMN,O9,8.69,57,,6.96,,,,,
CMN_F4(Fe),CMN,P0,8.69,100,,6.96,,,,,
CMN_F4(Fe),CMN,P1,8.69,70,,6.96,,,,,
CMN_F4(Fe),CMN,P2,8.69,65,,6.96,,,,,
CMN_F4(Fe),CMN,P3,8.69,77,,6.96,,,,,
CMN_F4(Fe),CMN,P8,8.69,78,,6.96,,,,,
CMN_F4(Fe),CMN,P9,8.69,76,,6.96,,,,,
CMN_F4(Fe),CMN,Q0,8.69,68,,6.96,,,,,
CMN_F4(Fe),CMN,Q1,8.69,57,,6.96,,,,,
CMN_F6(Xu),CMN,O1,8.69,60,,6.96,,,,,
CMN_F6(Xu),CMN,O2,8.69,73,,6.96,,,,,
CMN_F6(Xu),CMN,O3,8.69,73,,6.96,,,,,
CMN_F6(Xu),CMN,O4,8.69,80,,6.96,,,,,
CMN_F6(Xu),CMN,O6,8.69,64,,6.96,,,,,
CMN_F6(Xu),CMN,O8,8.69,69,,6.96,,,,,
CMN_F6(Xu),CMN,O9,8.69,57,,6.96,,,,,
CMN_F6(Xu),CMN,P0,8.69,100,,6.96,,,,,
CMN_F6(Xu),CMN,P1,8.69,70,,6.96,,,,,
CMN_F6(Xu),CMN,P2,8.69,65,,6.96,,,,,
CMN_F6(Xu),CMN,P3,8.69,77,,6.96,,,,,
CMN_F6(Xu),CMN,P8,8.69,78,,6.96,,,,,
CMN_F6(Xu),CMN,P9,8.69,76,,6.96,,,,,
CMN_F6(Xu),CMN,Q0,8.69,68,,6.96,,,,,
CMN_F6(Xu),CMN,Q1,8.69,57,,6.96,,,,,
CMN_M1(Cha),CMN,O1,8.69,60,,6.96,,,,,
CMN_M1(Cha),CMN,O2,8.69,73,,6.96,,,,,
CMN_M1(Cha),CMN,O3,8.69,73,,6.96,,,,,
CMN_M1(Cha),CMN,O4,8.69,80,,6.96,,,,,
CMN_M1(Cha),CMN,O6,8.69,64,,6.96,,,,,
CMN_M1(Cha),CMN,O8,8.69,69,,6.96,,,,,
CMN_M1(Cha),CMN,O9,8.69,57,,6.96,,,,,
CMN_M1(Cha),CMN,P0,8.69,100,,6.96,,,,,
CMN_M1(Cha),CMN,P1,8.69,70,,6.96,,,,,
CMN_M1(Cha),CMN,P2,8.69,65,,6.96,,,,,
CMN_M1(Cha),CMN,P3,8.69,77,,6.96,,,,,
CMN_M1(Cha),CMN,P8,8.69,78,,6.96,,,,,
CMN_M1(Cha),CMN,P9,8.69,76,,6.96,,,,,
CMN_M1(Cha),CMN,Q0,8.69,68,,6.96,,,,,
CMN_M1(Cha),CMN,Q1,8.69,57,,6.96,,,,,
CMN_M2(Ye),CMN,O1,8.69,60,,6.96,,,,,
CMN_M2(Ye),CMN,O2,8.69,73,,6.96,,,,,
CMN_M2(Ye),CMN,O3,8.69,73,,6.96,,,,,
CMN_M2(Ye),CMN,O4,8.69,80,,6.96,,,,,
CMN_M2(Ye),CMN,O6,8.69,64,,6.96,,,,,
CMN_M2(Ye),CMN,O8,8.69,69,,6.96,,,,,
CMN_M2(Ye),CMN,O9,8.69,57,,6.96,,,,,
CMN_M2(Ye),CMN,P0,8.69,100,,6.96,,,,,
CMN_M2(Ye),CMN,P1,8.69,70,,6.96,,,,,
CMN_M2(Ye),CMN,P2,8.69,65,,6.96,,,,,
CMN_M2(Ye),CMN,P3,8.69,77,,6.96,,,,,
CMN_M2(Ye),CMN,P8,8.69,78,,6.96,,,,,
CMN_M2(Ye),CMN,P9,8.69,76,,6.96,,,,,
CMN_M2(Ye),CMN,Q0,8.69,68,,6.96,,,,,
CMN_M2(Ye),CMN,Q1,8.69,57,,6.96,,,,,
CMN_M4(Yi),CMN,O1,8.69,60,,6.96,,,,,
CMN_M4(Yi),CMN,O2,8.69,73,,6.96,,,,,
CMN_M4(Yi),CMN,O3,8.69,73,,6.96,,,,,
CMN_M4(Yi),CMN,O4,8.69,80,,6.96,,,,,
CMN_M4(Yi),CMN,O6,8.69,64,,6.96,,,,,
CMN_M4(Yi),CMN,O8,8.69,69,,6.96,,,,,
CMN_M4(Yi),CMN,O9,8.69,57,,6.96,,,,,
CMN_M4(Yi),CMN,P0,8.69,100,,6.96,,,,,
CMN_M4(Yi),CMN,P1,8.69,70,,6.96,,,,,
CMN_M4(Yi),CMN,P2,8.69,65,,6.96,,,,,
CMN_M4(Yi),CMN,P3,8.69,77,,6.96,,,,,
CMN_M4(Yi),CMN,P8,8.69,78,,6.96,,,,,
CMN_M4(Yi),CMN,P9,8.69,76,,6.96,,,,,
CMN_M4(Yi),CMN,Q0,8.69,68,,6.96,,,,,
CMN_M4(Yi),CMN,Q1,8.69,57,,6.96,,,,,
CMN_M5(Qi),CMN,O1,8.69,60,,6.96,,,,,
CMN_M5(Qi),CMN,O2,8.69,73,,6.96,,,,,
CMN_M5(Qi),CMN,O3,8.69,73,,6.96,,,,,
CMN_M5(Qi),CMN,O4,8.69,80,,6.96,,,,,
CMN_M5(Qi),CMN,O6,8.69,64,,6.96,,,,,
CMN_M5(Qi),CMN,O8,8.69,69,,6.96,,,,,
CMN_M5(Qi),CMN,O9,8.69,57,,6.96,,,,,
CMN_M5(Qi),CMN,P0,8.69,100,,6.96,,,,,
CMN_M5(Qi),CMN,P1,8.69,70,,6.96,,,,,
CMN_M5(Qi),CMN,P2,8.69,65,,6.96,,,,,
CMN_M5(Qi),CMN,P3,8.69,77,,6.96,,,,,
CMN_M5(Qi),CMN,P8,8.69,78,,6.96,,,,,
CMN_M5(Qi),CMN,P9,8.69,76,,6.96,,,,,
CMN_M5(Qi),CMN,Q0,8.69,68,,6.96,,,,,
CMN_M5(Qi),CMN,Q1,8.69,57,,6.96,,,,,
CMN_M6(Na),CMN,O1,8.69,60,,6.96,,,,,
CMN_M6(Na),CMN,O2,8.69,73,,6.96,,,,,
CMN_M6(Na),CMN,O3,8.69,73,,6.96,,,,,
CMN_M6(Na),CMN,O4,8.69,80,,6.96,,,,,
CMN_M6(Na),CMN,O6,8.69,64,,6.96,,,,,
CMN_M6(Na),CMN,O8,8.69,69,,6.96,,,,,
CMN_M6(Na),CMN,O9,8.69,57,,6.96,,,,,
CMN_M6(Na),CMN,P0,8.69,100,,6.96,,,,,
CMN_M6(Na),CMN,P1,8.69,70,,6.96,,,,,
CMN_M6(Na),CMN,P2,8.69,65,,6.96,,,,,
